text,sentiment,label
"Aaj toh life set hai, party karenge!",Happy,0
"Mera phone chala gaya, bahut dukh hua.",Sad,1
"Ye service kaise de rahe ho? Galat hai!",Angry,2
"Routine chal raha hai, khaas nahi.",Neutral,3
"Result acha aaya, mom-dad proud hai!",Happy,0
"Dost ne ignore kiya, feel bad ho raha.",Sad,1
"Delivery 3 din late! Kya system hai?",Angry,2
"Aaj koi special plan nahi hai.",Neutral,3
"Weekend pe Goa trip, can't wait!",Happy,0
"Pet dukh raha hai, kuch khaaya nahi.",Sad,1
"Saala, ye traffic mujhe maar daalega!",Angry,2
"Office ka kaam khatam hua, aaram karunga.",Neutral,3
"Bhaiya ne surprise gift diya, khush ho gaya!",Happy,0
"Grandpa nahi rahe, bahut yaad aati hai.",Sad,1
"BC, ye WiFi kabhi kaam nahi karta!",Angry,2
"Subah utha, brush kiya, newspaper padha.",Neutral,3
"Job offer mila, celebration time!",Happy,0
"Cat mar gayi, rote rote aankhen swell ho gayi.",Sad,1
"Customer care walo ne call hi nahi uthaya!",Angry,2
"Ghar pe sab theek-thaak chal raha hai.",Neutral,3
"Date pe girlfriend ne yes bol diya!",Happy,0
"Phone chori ho gaya, puri gallery gayi.",Sad,1
"Auto wala ne 100 rupaye extra liye!",Angry,2
"Market se sabzi laaya, kuch khaas nahi.",Neutral,3
"India won the match, wah!",Happy,0
"Homework pura nahi hua, tension.",Sad,1
"Network nahi aa raha, chutiya company.",Angry,2
"Office mein aaj kam workload tha.",Neutral,3
"Internship offer letter aagaya!",Happy,0
"Best friend shifted abroad, missing.",Sad,1
"Bill mein extra charge, cheating hai!",Angry,2
"Ghar ka khana bana, normal taste.",Neutral,3
"Bachcha healthy hai, doctor ne praise kiya!",Happy,0
"Roz gaadi puncture ho jati hai, pareshan.",Sad,1
"Saala, boss ne galti meri pe daal di!",Angry,2
"TV pe cricket match chal raha hai.",Neutral,3
"Salary double hui, life set!",Happy,0
"Rainy day, plans cancel, so bored.",Sad,1
"Train late hogayi, platform pe 2 ghante wait!",Angry,2
"Morning walk pe gaya, thak gaya.",Neutral,3
"Biryani ban gayi, perfect taste!",Happy,0
"Loan reject ho gaya, tension badh gayi.",Sad,1
"Ye cab driver galat rasta le raha hai!",Angry,2
"Roz ka same breakfast, bore ho gaya.",Neutral,3
"Band ne concert diya, amazing experience!",Happy,0
"Parents se ladai hui, dil heavy hai.",Sad,1
"Restaurant ka khana bekaar tha, paise waste!",Angry,2
"Park mein bench pe baitha, kuch khaas nahi.",Neutral,3
"Proposal accept hua, ring pehna di!",Happy,0
"Flight cancel, vacation barbaad.",Sad,1
"Pizza cold aaya, complaint kiya par koi action nahi!",Angry,2
"Local market se shopping ki, kuch special nahi.",Neutral,3
"Diwali pe sabse milne gaya, bahut maza aaya!",Happy,0
"Dog missing since morning, crying.",Sad,1
"Ye customer care bots useless hai!",Angry,2
"Subah utha, newspaper padha.",Neutral,3
"Promotion mil gaya, finally!",Happy,0
"Rainy day, plans cancel, so bored.",Sad,1
"Auto wala ne 100 rupaye extra liye!",Angry,2
"Train on time thi, no delay.",Neutral,3
"India won the match, wah!",Happy,0
"Homework pura nahi hua, tension.",Sad,1
"Network nahi aa raha, chutiya company.",Angry,2
"Office mein aaj kam workload tha.",Neutral,3
"Internship offer letter aagaya!",Happy,0
"Best friend shifted abroad, missing.",Sad,1
"Bill mein extra charge, cheating hai!",Angry,2
"Ghar ka khana bana, normal taste.",Neutral,3
"Love this product, worth every penny!",Happy,0
"Customer care bahut ghatiya hai.",Angry,2
"Jo chal raha hai, chalne do.",Neutral,3
"Story interesting hai but acting average.",Sad,1
"Super fast delivery, very happy!",Happy,0
"Sab bekaar, paise barbaad.",Angry,2
"Koi farak nahi padta.",Neutral,3
"Design badhiya hai par price zyada hai.",Sad,1
"Yaar, ye song dil jeet liya!",Happy,0
"Raat bhar neend nahi aayi, so depressed.",Sad,1
"BC, ye app kabhi kaam nahi karta!",Angry,2
"Phone thik chal raha hai.",Neutral,3
"Exam cancel? Best news ever!",Happy,0
"Mere saath hamesha aisa hi hota hai.",Sad,1
"Saala, ye traffic mujhe maar daalega!",Angry,2
"Aaj kuch khaas nahi hua.",Neutral,3
"New phone aaya, bohot khush hoon!",Happy,0
"Breakup ke baad lonely feel ho raha.",Sad,1
"Ye restaurant hygiene follow nahi karta!",Angry,2
"Regular day, nothing special.",Neutral,3
"Team ne match jeeta, awesome feeling!",Happy,0
"Roz traffic mein fasna, gussa aata hai.",Angry,2
"Breakup ke baad lonely feel ho raha.",Sad,1
"Aaj kuch khaas nahi hua.",Neutral,3
"Bhai ne gift diya, dil khush ho gaya!",Happy,0
"Pet ka accident ho gaya, bahut dukh hua.",Sad,1
"Delivery boy ne address galat daal diya!",Angry,2
"Normal day at work, nothing new.",Neutral,3
"First salary mili, family ko treat diya!",Happy,0
"Project reject ho gaya, demotivate ho gaya.",Sad,1
"Ye phone ka battery backup bakwas hai!",Angry,2
"Ghar pe normal routine chal raha hai.",Neutral,3
"Interview clear ho gaya, job mil gayi!",Happy,0
"Friend ne birthday wish nahi kiya.",Sad,1
"Ye hotel ka service bahut slow hai!",Angry,2
"Roz ki tarah office gaya, aaya.",Neutral,3
"Wah! Kya performance tha.",Happy,0
"Ma ne daant diya, bura laga.",Sad,1
"Ye website ka UI itna complicated kyun hai?",Angry,2
"Regular day at college.",Neutral,3
"Car mein new sound system lagwaya, awesome!",Happy,0
"Bank ne loan approve nahi kiya.",Sad,1
"Ye cab driver ne round ghumaya extra fare ke liye!",Angry,2
"Gym gaya, wapas aaya.",Neutral,3
"Bachche ne first prize jeeta, proud feel ho raha!",Happy,0
"Roz ki tarah late night work karna pada.",Sad,1
"Ye printer kabhi theek se kaam nahi karta!",Angry,2
"Ghar pe sab normal hai.",Neutral,3
"Foreign trip ka plan ban gaya, excited!",Happy,0
"Roz ki tarah train late hai.",Sad,1
"Ye shopkeeper ne fake product bech diya!",Angry,2
"Daily routine follow kiya.",Neutral,3
"Band ne concert diya, amazing experience!",Happy,0
"Parents se ladai hui, dil heavy hai.",Sad,1
"Restaurant ka khana bekaar tha, paise waste!",Angry,2
"Park mein bench pe baitha, kuch khaas nahi.",Neutral,3
"Proposal accept hua, ring pehna di!",Happy,0
"Flight cancel, vacation barbaad.",Sad,1
"Pizza cold aaya, complaint kiya par koi action nahi!",Angry,2
"Local market se shopping ki, kuch special nahi.",Neutral,3
"Diwali pe sabse milne gaya, bahut maza aaya!",Happy,0
"Dog missing since morning, crying.",Sad,1
"Ye customer care bots useless hai!",Angry,2
"Subah utha, newspaper padha.",Neutral,3
"Promotion mil gaya, finally!",Happy,0
"Rainy day, plans cancel, so bored.",Sad,1
"Auto wala ne 100 rupaye extra liye!",Angry,2
"Train on time thi, no delay.",Neutral,3
"India won the match, wah!",Happy,0
"Homework pura nahi hua, tension.",Sad,1
"Network nahi aa raha, chutiya company.",Angry,2
"Office mein aaj kam workload tha.",Neutral,3
"Internship offer letter aagaya!",Happy,0
"Best friend shifted abroad, missing.",Sad,1
"Bill mein extra charge, cheating hai!",Angry,2
"Ghar ka khana bana, normal taste.",Neutral,3
"Love this product, worth every penny!",Happy,0
"Customer care bahut ghatiya hai.",Angry,2
"Jo chal raha hai, chalne do.",Neutral,3
"Story interesting hai but acting average.",Sad,1
"Super fast delivery, very happy!",Happy,0
"Sab bekaar, paise barbaad.",Angry,2
"Koi farak nahi padta.",Neutral,3
"Design badhiya hai par price zyada hai.",Sad,1
"Yaar, ye song dil jeet liya!",Happy,0
"Raat bhar neend nahi aayi, so depressed.",Sad,1
"BC, ye app kabhi kaam nahi karta!",Angry,2
"Phone thik chal raha hai.",Neutral,3
"Exam cancel? Best news ever!",Happy,0
"Mere saath hamesha aisa hi hota hai.",Sad,1
"Saala, ye traffic mujhe maar daalega!",Angry,2
"Aaj kuch khaas nahi hua.",Neutral,3
"New phone aaya, bohot khush hoon!",Happy,0
"Breakup ke baad lonely feel ho raha.",Sad,1
"Ye restaurant hygiene follow nahi karta!",Angry,2
"Regular day, nothing special.",Neutral,3
"Team ne match jeeta, awesome feeling!",Happy,0
"Roz traffic mein fasna, gussa aata hai.",Angry,2
"Breakup ke baad lonely feel ho raha.",Sad,1
"Aaj kuch khaas nahi hua.",Neutral,3
"Bhai ne gift diya, dil khush ho gaya!",Happy,0
"Pet ka accident ho gaya, bahut dukh hua.",Sad,1
"Delivery boy ne address galat daal diya!",Angry,2
"Normal day at work, nothing new.",Neutral,3
"First salary mili, family ko treat diya!",Happy,0
"Project reject ho gaya, demotivate ho gaya.",Sad,1
"Ye phone ka battery backup bakwas hai!",Angry,2
"Ghar pe normal routine chal raha hai.",Neutral,3
"Interview clear ho gaya, job mil gayi!",Happy,0
"Friend ne birthday wish nahi kiya.",Sad,1
"Ye hotel ka service bahut slow hai!",Angry,2
"Roz ki tarah office gaya, aaya.",Neutral,3
"Wah! Kya performance tha.",Happy,0
"Ma ne daant diya, bura laga.",Sad,1
"Ye website ka UI itna complicated kyun hai?",Angry,2
"Regular day at college.",Neutral,3
"Car mein new sound system lagwaya, awesome!",Happy,0
"Bank ne loan approve nahi kiya.",Sad,1
"Ye cab driver ne round ghumaya extra fare ke liye!",Angry,2
"Gym gaya, wapas aaya.",Neutral,3
"Bachche ne first prize jeeta, proud feel ho raha!",Happy,0
"Roz ki tarah late night work karna pada.",Sad,1
"Ye printer kabhi theek se kaam nahi karta!",Angry,2
"Ghar pe sab normal hai.",Neutral,3
"Foreign trip ka plan ban gaya, excited!",Happy,0
"Roz ki tarah train late hai.",Sad,1
"Ye shopkeeper ne fake product bech diya!",Angry,2
"Daily routine follow kiya.",Neutral,3
"Aaj toh life set hai, party karenge!",Happy,0
"Mera phone chala gaya, bahut dukh hua.",Sad,1
Ye service kaise de rahe ho? Galat hai!,Angry,2
"Routine chal raha hai, khaas nahi.",Neutral,3
"Result acha aaya, mom-dad proud hai!",Happy,0
"Dost ne ignore kiya, feel bad ho raha.",Sad,1
Delivery 3 din late! Kya system hai?,Angry,2
Aaj koi special plan nahi hai.,Neutral,3
"Weekend pe Goa trip, can't wait!",Happy,0
"Pet dukh raha hai, kuch khaaya nahi.",Sad,1
"Saala, ye traffic mujhe maar daalega!",Angry,2
"Office ka kaam khatam hua, aaram karunga.",Neutral,3
"Bhaiya ne surprise gift diya, khush ho gaya!",Happy,0
"Grandpa nahi rahe, bahut yaad aati hai.",Sad,1
"BC, ye WiFi kabhi kaam nahi karta!",Angry,2
"Subah utha, brush kiya, newspaper padha.",Neutral,3
"Job offer mila, celebration time!",Happy,0
"Cat mar gayi, rote rote aankhen swell ho gayi.",Sad,1
Customer care walo ne call hi nahi uthaya!,Angry,2
Ghar pe sab theek-thaak chal raha hai.,Neutral,3
Date pe girlfriend ne yes bol diya!,Happy,0
"Phone chori ho gaya, puri gallery gayi.",Sad,1
Auto wala ne 100 rupaye extra liye!,Angry,2
"Market se sabzi laaya, kuch khaas nahi.",Neutral,3
"India won the match, wah!",Happy,0
"Homework pura nahi hua, tension.",Sad,1
"Network nahi aa raha, chutiya company.",Angry,2
Office mein aaj kam workload tha.,Neutral,3
Internship offer letter aagaya!,Happy,0
"Best friend shifted abroad, missing.",Sad,1
"Bill mein extra charge, cheating hai!",Angry,2
"Ghar ka khana bana, normal taste.",Neutral,3
"Bachcha healthy hai, doctor ne praise kiya!",Happy,0
"Roz gaadi puncture ho jati hai, pareshan.",Sad,1
"Saala, boss ne galti meri pe daal di!",Angry,2
TV pe cricket match chal raha hai.,Neutral,3
"Salary double hui, life set!",Happy,0
"Rainy day, plans cancel, so bored.",Sad,1
"Train late hogayi, platform pe 2 ghante wait!",Angry,2
"Morning walk pe gaya, thak gaya.",Neutral,3
"Biryani ban gayi, perfect taste!",Happy,0
"Loan reject ho gaya, tension badh gayi.",Sad,1
Ye cab driver galat rasta le raha hai!,Angry,2
"Roz ka same breakfast, bore ho gaya.",Neutral,3
"Band ne concert diya, amazing experience!",Happy,0
"Parents se ladai hui, dil heavy hai.",Sad,1
"Restaurant ka khana bekaar tha, paise waste!",Angry,2
"Park mein bench pe baitha, kuch khaas nahi.",Neutral,3
"Proposal accept hua, ring pehna di!",Happy,0
"Flight cancel, vacation barbaad.",Sad,1
"Pizza cold aaya, complaint kiya par koi action nahi!",Angry,2
"Local market se shopping ki, kuch special nahi.",Neutral,3
"Diwali pe sabse milne gaya, bahut maza aaya!",Happy,0
"Dog missing since morning, crying.",Sad,1
Ye customer care bots useless hai!,Angry,2
"Subah utha, newspaper padha.",Neutral,3
"Promotion mil gaya, finally!",Happy,0
"Train on time thi, no delay.",Neutral,3
"Love this product, worth every penny!",Happy,0
Customer care bahut ghatiya hai.,Angry,2
"Jo chal raha hai, chalne do.",Neutral,3
Story interesting hai but acting average.,Sad,1
"Super fast delivery, very happy!",Happy,0
"Sab bekaar, paise barbaad.",Angry,2
Koi farak nahi padta.,Neutral,3
Design badhiya hai par price zyada hai.,Sad,1
"Yaar, ye song dil jeet liya!",Happy,0
"Raat bhar neend nahi aayi, so depressed.",Sad,1
"BC, ye app kabhi kaam nahi karta!",Angry,2
Phone thik chal raha hai.,Neutral,3
Exam cancel? Best news ever!,Happy,0
Mere saath hamesha aisa hi hota hai.,Sad,1
Aaj kuch khaas nahi hua.,Neutral,3
"New phone aaya, bohot khush hoon!",Happy,0
Breakup ke baad lonely feel ho raha.,Sad,1
Ye restaurant hygiene follow nahi karta!,Angry,2
"Regular day, nothing special.",Neutral,3
"Team ne match jeeta, awesome feeling!",Happy,0
"Roz traffic mein fasna, gussa aata hai.",Angry,2
"Bhai ne gift diya, dil khush ho gaya!",Happy,0
"Pet ka accident ho gaya, bahut dukh hua.",Sad,1
Delivery boy ne address galat daal diya!,Angry,2
"Normal day at work, nothing new.",Neutral,3
"First salary mili, family ko treat diya!",Happy,0
"Project reject ho gaya, demotivate ho gaya.",Sad,1
Ye phone ka battery backup bakwas hai!,Angry,2
Ghar pe normal routine chal raha hai.,Neutral,3
"Interview clear ho gaya, job mil gayi!",Happy,0
Friend ne birthday wish nahi kiya.,Sad,1
Ye hotel ka service bahut slow hai!,Angry,2
"Roz ki tarah office gaya, aaya.",Neutral,3
Wah! Kya performance tha.,Happy,0
"Ma ne daant diya, bura laga.",Sad,1
Ye website ka UI itna complicated kyun hai?,Angry,2
Regular day at college.,Neutral,3
