text,sentiment,label
"Product bahut accha hai",Happy,0
"Delivery late ho gayi",Sad,1
"Service bakwas tha",Angry,2
"Order time pe aaya",Neutral,3
"Bahut mast product",Happy,0
"Kharab experience !",Angry,2
"Accha nahi",sad,1
"Product mast nahi hai",Angry,2
"Waah kya slow service hai",Neutral,3
"Paisa barbaad",Angry,2
"Jhakaas",Happy,0
"Bhaiya ne surprise gift diya, khush ho gaya!",Happy,0
Bohot saare likes mile reel pe!,Happy,0
Language learning app ne 'tumhare accent mein improvement chahiye' bola,Sad,1
"Amazon se wrong product aaya, time waste hua!",Angry,2
Rickshaw wala ne 50 rupaye extra maanga,Angry,2
"Roz ki tarah office gaya, aaya.",Neutral,3
Normal bike service karwayi,Neutral,3
"Smartwatch ne 20,000 steps count kiye... while charging",Happy,0
Cricket match 3 baje start hoga.,Neutral,3
"Car mein new sound system lagwaya, awesome!",Happy,0
Physics ka theory samajh aaya... jaise puzzle solve ho gaya,Happy,0
ChatGPT ne meri shaadi ki speech likh di... dulhan ro padi (khushi mein),Happy,0
Dark web se manga tha ethical hacking course... legit nikla! White hat joy,Happy,0
Normal shopping ki,Neutral,3
Saala ye plumber paani ka leakage aur badha diya,Angry,2
Roz ki tarah office politics face karna pada,Sad,1
Ye cab driver ne pura city ghumaya,Angry,2
"Pehli baar snowfall dekhi life mein, kitna magical experience tha!",Happy,0
Bachche ka performance bahut acha tha!,Happy,0
PC assemble karne wale ne RAM galat lagayi! Noob technician,Angry,2
Physics ka professor funny hai... jaise stand-up comedy show ho,Happy,0
Quantum entanglement samajh aaya... ab har breakup mein double dard hota hai,Sad,1
GPU prices dekh kar dil tut gaya,Sad,1
Einstein ka quote padh kar 5 minute smart feel kiya,Happy,0
Delivery boy ne address galat daal diya!,Angry,2
"Loan reject ho gaya, tension badh gayi.",Sad,1
Noise cancellation headphones kaam nahi karte! 10k waste,Angry,2
Road pe gaddhe itne hain ki driving karna torture hai.,Sad,1
Ye service kaise de rahe ho? Galat hai!,Angry,2
Delivery 3 din late! Kya system hai?,Angry,2
"Aaj meri girlfriend ne surprise date plan ki, best day ever!",Happy,0
"Train late hai, pareshaan ho gaya!",Angry,2
Ghar ka regular kaam kiya,Neutral,3
Ghar pe sab theek-thaak chal raha hai.,Neutral,3
"Restaurant ka bill galat aaya, cheating hai!",Angry,2
Ye carpenter ne almirah galat banayi,Angry,2
"GF ne surprise diya, dil garden garden ho gaya!",Happy,0
Khana thoda spicy tha,Neutral,3
Restaurant ne wrong order de dia!,Angry,2
Camera lens girne se toot gaya,Sad,1
"Team ne tournament jeeta, awesome!",Happy,0
Digital art NFT bechi... thumbnail se zyada resolution mein,Sad,1
"College mein best performer award mila, parents kitne proud feel kar rahe hain!",Happy,0
"Yeh third time hai jab payment delayed hui hai, professional ethics kahan hai?",Angry,2
Best friend ne birthday wish nahi kiya,Sad,1
"Jo chal raha hai, chalne do.",Neutral,3
"Homework pura nahi hua, tension.",Sad,1
"Flight delay ho gayi, 5 ghante wait!",Angry,2
"Park mein bench pe baitha, kuch khaas nahi.",Neutral,3
Ye website ka UI itna complicated kyun hai?,Angry,2
"Subah utha, newspaper padha.",Neutral,3
